time_iso8601,forks_cumulative
2024-06-29 00:00:00+00:00,39856
2024-06-30 00:00:00+00:00,39864
2024-07-01 00:00:00+00:00,39881
2024-07-02 00:00:00+00:00,39912
2024-07-03 00:00:00+00:00,39932
2024-07-04 00:00:00+00:00,39952
2024-07-05 00:00:00+00:00,39969
2024-07-06 00:00:00+00:00,39989
2024-07-07 00:00:00+00:00,40003
2024-07-08 00:00:00+00:00,40025
2024-07-09 00:00:00+00:00,40061
2024-07-10 00:00:00+00:00,40096
2024-07-11 00:00:00+00:00,40127
2024-07-12 00:00:00+00:00,40153
2024-07-13 00:00:00+00:00,40178
2024-07-14 00:00:00+00:00,40214
2024-07-15 00:00:00+00:00,40241
2024-07-16 00:00:00+00:00,40270
2024-07-17 00:00:00+00:00,40293
2024-07-18 00:00:00+00:00,40335
2024-07-19 00:00:00+00:00,40362
2024-07-20 00:00:00+00:00,40373
2024-07-21 00:00:00+00:00,40394
2024-07-22 00:00:00+00:00,40406
2024-07-23 00:00:00+00:00,40421
2024-07-24 00:00:00+00:00,40446
2024-07-25 00:00:00+00:00,40462
2024-07-26 00:00:00+00:00,40478
2024-07-27 00:00:00+00:00,40492
2024-07-28 00:00:00+00:00,40503
2024-07-29 00:00:00+00:00,40522
2024-07-30 00:00:00+00:00,40539
2024-07-31 00:00:00+00:00,40552
2024-08-01 00:00:00+00:00,40572
2024-08-02 00:00:00+00:00,40592
2024-08-03 00:00:00+00:00,40600
2024-08-04 00:00:00+00:00,40614
2024-08-05 00:00:00+00:00,40627
2024-08-06 00:00:00+00:00,40641
2024-08-07 00:00:00+00:00,40661
2024-08-08 00:00:00+00:00,40679
2024-08-09 00:00:00+00:00,40690
2024-08-10 00:00:00+00:00,40701
2024-08-11 00:00:00+00:00,40710
2024-08-12 00:00:00+00:00,40720
2024-08-13 00:00:00+00:00,40736
2024-08-14 00:00:00+00:00,40762
2024-08-15 00:00:00+00:00,40782
2024-08-16 00:00:00+00:00,40798
2024-08-17 00:00:00+00:00,40805
2024-08-18 00:00:00+00:00,40819
2024-08-19 00:00:00+00:00,40827
2024-08-20 00:00:00+00:00,40840
2024-08-21 00:00:00+00:00,40852
2024-08-22 00:00:00+00:00,40866
2024-08-23 00:00:00+00:00,40875
2024-08-24 00:00:00+00:00,40882
2024-08-25 00:00:00+00:00,40893
2024-08-26 00:00:00+00:00,40905
2024-08-27 00:00:00+00:00,40915
2024-08-28 00:00:00+00:00,40930
2024-08-29 00:00:00+00:00,40943
2024-08-30 00:00:00+00:00,40951
2024-08-31 00:00:00+00:00,40959
2024-09-01 00:00:00+00:00,40966
